ground_truth_species,predicted_species,same_genus,model_count,total_occurrences,models
Carpinus caroliniana,Cornus florida,False,2,2,dinov3|gpt_5_4
Carya cordiformis,Fraxinus pennsylvanica,False,2,2,dinov3|gpt_5_4
Carya cordiformis,Tilia americana,False,2,2,dinov3|gpt_5_4
Gymnocladus dioicus,Gleditsia triacanthos,False,2,2,bioclip|gpt_5_4
Juglans cinerea,Gymnocladus dioicus,False,2,2,dinov3|gemini_flash_lite
Nyssa sylvatica,Cornus amomum,False,2,2,dinov3|gpt_5_4
Picea rubens,Picea glauca,True,2,2,gemini_flash_lite|gpt_5_4
Quercus alba,Quercus muehlenbergii,True,2,2,bioclip|dinov3
Quercus bicolor,Quercus palustris,True,2,2,bioclip|dinov3
Quercus rubra,Fraxinus americana,False,2,2,dinov3|gpt_5_4
Rhus aromatica,Lindera benzoin,False,2,2,gemini_flash_lite|gpt_5_4
Rhus copallinum,Ailanthus altissima,False,2,2,gemini_flash_lite|gpt_5_4
Sorbus americana,Prunus serotina,False,2,2,dinov3|gpt_5_4
Yucca filamentosa,Rhus glabra,False,2,2,dinov3|gemini_flash_lite
Acer saccharum,Fraxinus americana,False,1,4,gemini_flash_lite
Quercus rubra,Quercus alba,True,1,4,gemini_flash_lite
Acer saccharum,Ailanthus altissima,False,1,3,dinov3
Fraxinus pennsylvanica,Fraxinus americana,True,1,3,gpt_5_4
Zanthoxylum americanum,Rhus glabra,False,1,3,gemini_flash_lite
Acer rubrum,Fraxinus americana,False,1,2,gpt_5_4
Acer saccharum,Magnolia acuminata,False,1,2,gpt_5_4
Betula lenta,Carpinus caroliniana,False,1,2,gemini_flash_lite
Carpinus caroliniana,Acer negundo,False,1,2,gpt_5_4
Carya cordiformis,Fraxinus americana,False,1,2,gemini_flash_lite
Fraxinus americana,Fraxinus pennsylvanica,True,1,2,bioclip
Fraxinus americana,Quercus palustris,False,1,2,bioclip
Ilex verticillata,Cephalanthus occidentalis,False,1,2,gemini_flash_lite
Lonicera morrowii,Ilex verticillata,False,1,2,dinov3
Prunus serotina,Prunus virginiana,True,1,2,gemini_flash_lite
Pyrus calleryana,Fagus grandifolia,False,1,2,gpt_5_4
Pyrus calleryana,Lonicera morrowii,False,1,2,gemini_flash_lite
Quercus alba,Cornus florida,False,1,2,gpt_5_4
Quercus rubra,Amelanchier arborea,False,1,2,bioclip
Rhus aromatica,Sassafras albidum,False,1,2,dinov3
Sassafras albidum,Carpinus caroliniana,False,1,2,gemini_flash_lite
Sassafras albidum,Fraxinus pennsylvanica,False,1,2,dinov3
Ulmus americana,Betula alleghaniensis,False,1,2,dinov3
Ulmus rubra,Ostrya virginiana,False,1,2,gpt_5_4
Viburnum lantanoides,Tilia americana,False,1,2,dinov3
Viburnum lantanoides,Viburnum opulus,True,1,2,gemini_flash_lite
Yucca filamentosa,Gymnocladus dioicus,False,1,2,dinov3
Zanthoxylum americanum,Quercus palustris,False,1,2,dinov3
Acer negundo,Acer saccharum,True,1,1,gemini_flash_lite
Acer negundo,Carpinus caroliniana,False,1,1,gemini_flash_lite
Acer negundo,Cornus sericea,False,1,1,gpt_5_4
Acer negundo,Juglans nigra,False,1,1,dinov3
Acer negundo,Populus deltoides,False,1,1,gpt_5_4
Acer negundo,Populus tremuloides,False,1,1,gemini_flash_lite
Acer negundo,Prunus serotina,False,1,1,gpt_5_4
Acer negundo,Ulmus rubra,False,1,1,dinov3
Acer rubrum,Ginkgo biloba,False,1,1,dinov3
Acer rubrum,Juglans cinerea,False,1,1,dinov3
Acer rubrum,Platanus occidentalis,False,1,1,gemini_flash_lite
Acer rubrum,Pyrus calleryana,False,1,1,bioclip
Acer rubrum,Quercus bicolor,False,1,1,dinov3
Acer saccharum,Betula lenta,False,1,1,gpt_5_4
Acer saccharum,Quercus palustris,False,1,1,dinov3
Ailanthus altissima,Gleditsia triacanthos,False,1,1,dinov3
Amelanchier arborea,Cornus florida,False,1,1,gpt_5_4
Betula alleghaniensis,Betula papyrifera,True,1,1,gemini_flash_lite
Betula alleghaniensis,Populus tremuloides,False,1,1,gpt_5_4
Betula alleghaniensis,Prunus serotina,False,1,1,dinov3
Betula lenta,Amelanchier arborea,False,1,1,bioclip
Betula lenta,Ostrya virginiana,False,1,1,gpt_5_4
Betula lenta,Rhus aromatica,False,1,1,dinov3
Carpinus caroliniana,Acer saccharum,False,1,1,gemini_flash_lite
Carpinus caroliniana,Betula lenta,False,1,1,gpt_5_4
Carpinus caroliniana,Fagus grandifolia,False,1,1,bioclip
Carya cordiformis,Ailanthus altissima,False,1,1,gpt_5_4
Carya cordiformis,Carpinus caroliniana,False,1,1,gemini_flash_lite
Carya cordiformis,Gleditsia triacanthos,False,1,1,gemini_flash_lite
Carya cordiformis,Lonicera morrowii,False,1,1,gpt_5_4
Carya cordiformis,Robinia pseudoacacia,False,1,1,dinov3
Carya ovata,Acer saccharinum,False,1,1,gpt_5_4
Carya ovata,Aesculus hippocastanum,False,1,1,gemini_flash_lite
Carya ovata,Ostrya virginiana,False,1,1,gemini_flash_lite
Carya ovata,Quercus alba,False,1,1,dinov3
Carya ovata,Robinia pseudoacacia,False,1,1,dinov3
Castanea dentata,Carpinus caroliniana,False,1,1,gemini_flash_lite
Castanea dentata,Carya ovata,False,1,1,gpt_5_4
Celtis occidentalis,Acer negundo,False,1,1,dinov3
Celtis occidentalis,Carpinus caroliniana,False,1,1,gemini_flash_lite
Celtis occidentalis,Cornus amomum,False,1,1,gpt_5_4
Celtis occidentalis,Ulmus rubra,False,1,1,gpt_5_4
Celtis occidentalis,Viburnum lantanoides,False,1,1,dinov3
Cephalanthus occidentalis,Cornus florida,False,1,1,gpt_5_4
Cornus amomum,Acer rubrum,False,1,1,gemini_flash_lite
Cornus amomum,Cornus sericea,True,1,1,gpt_5_4
Cornus florida,Cornus sericea,True,1,1,gemini_flash_lite
Fagus grandifolia,Carpinus caroliniana,False,1,1,dinov3
Fagus grandifolia,Castanea dentata,False,1,1,gpt_5_4
Fagus grandifolia,Ostrya virginiana,False,1,1,gemini_flash_lite
Fagus grandifolia,Platanus occidentalis,False,1,1,dinov3
Fraxinus americana,Ailanthus altissima,False,1,1,gemini_flash_lite
Fraxinus americana,Gleditsia triacanthos,False,1,1,gpt_5_4
Fraxinus americana,Sassafras albidum,False,1,1,dinov3
Fraxinus pennsylvanica,Ailanthus altissima,False,1,1,gemini_flash_lite
Fraxinus pennsylvanica,Quercus macrocarpa,False,1,1,bioclip
Fraxinus pennsylvanica,Quercus rubra,False,1,1,dinov3
Fraxinus quadrangulata,Betula lenta,False,1,1,gpt_5_4
Fraxinus quadrangulata,Betula papyrifera,False,1,1,gemini_flash_lite
Fraxinus quadrangulata,Sorbus americana,False,1,1,dinov3
Gleditsia triacanthos,Ailanthus altissima,False,1,1,gpt_5_4
Gleditsia triacanthos,Juglans nigra,False,1,1,gpt_5_4
Gleditsia triacanthos,Prunus serotina,False,1,1,gpt_5_4
Gleditsia triacanthos,Prunus virginiana,False,1,1,gpt_5_4
Gleditsia triacanthos,Rhus glabra,False,1,1,dinov3
Gleditsia triacanthos,Zanthoxylum americanum,False,1,1,gemini_flash_lite
Gymnocladus dioicus,Acer saccharum,False,1,1,dinov3
Gymnocladus dioicus,Carpinus caroliniana,False,1,1,gemini_flash_lite
Gymnocladus dioicus,Fraxinus americana,False,1,1,dinov3
Gymnocladus dioicus,Magnolia acuminata,False,1,1,gemini_flash_lite
Gymnocladus dioicus,Prunus serotina,False,1,1,gpt_5_4
Gymnocladus dioicus,Robinia pseudoacacia,False,1,1,gpt_5_4
Ilex verticillata,Lonicera morrowii,False,1,1,gpt_5_4
Juglans cinerea,Carya ovata,False,1,1,gpt_5_4
Juglans cinerea,Fraxinus americana,False,1,1,gpt_5_4
Juglans cinerea,Gleditsia triacanthos,False,1,1,bioclip
Juglans cinerea,Juglans nigra,True,1,1,gemini_flash_lite
Juglans cinerea,Ulmus rubra,False,1,1,gemini_flash_lite
Juglans nigra,Castanea dentata,False,1,1,gpt_5_4
Juglans nigra,Juglans cinerea,True,1,1,gpt_5_4
Juglans nigra,Rhus glabra,False,1,1,dinov3
Juniperus virginiana,Quercus alba,False,1,1,dinov3
Juniperus virginiana,Thuja occidentalis,False,1,1,gpt_5_4
Lindera benzoin,Acer platanoides,False,1,1,gpt_5_4
Lindera benzoin,Acer saccharum,False,1,1,gpt_5_4
Lindera benzoin,Hamamelis virginiana,False,1,1,gemini_flash_lite
Lonicera morrowii,Pyrus calleryana,False,1,1,dinov3
Lonicera morrowii,Sambucus nigra,False,1,1,gemini_flash_lite
Nyssa sylvatica,Acer rubrum,False,1,1,gemini_flash_lite
Nyssa sylvatica,Amelanchier arborea,False,1,1,bioclip
Nyssa sylvatica,Cornus florida,False,1,1,gemini_flash_lite
Nyssa sylvatica,Ilex verticillata,False,1,1,bioclip
Nyssa sylvatica,Pyrus calleryana,False,1,1,gpt_5_4
Nyssa sylvatica,Sassafras albidum,False,1,1,bioclip
Nyssa sylvatica,Tilia americana,False,1,1,dinov3
Ostrya virginiana,Carpinus caroliniana,False,1,1,gemini_flash_lite
Ostrya virginiana,Robinia pseudoacacia,False,1,1,dinov3
Pinus strobus,Betula papyrifera,False,1,1,gpt_5_4
Pinus strobus,Quercus bicolor,False,1,1,dinov3
Pinus strobus,Robinia pseudoacacia,False,1,1,gpt_5_4
Platanus occidentalis,Aesculus glabra,False,1,1,dinov3
Platanus occidentalis,Pyrus calleryana,False,1,1,gpt_5_4
Populus deltoides,Juglans nigra,False,1,1,gemini_flash_lite
Populus deltoides,Quercus rubra,False,1,1,dinov3
Prunus serotina,Betula lenta,False,1,1,gpt_5_4
Prunus serotina,Nyssa sylvatica,False,1,1,dinov3
Prunus serotina,Pyrus calleryana,False,1,1,gemini_flash_lite
Prunus serotina,Salix nigra,False,1,1,dinov3
Pyrus calleryana,Amelanchier arborea,False,1,1,bioclip
Pyrus calleryana,Rhus copallinum,False,1,1,bioclip
Quercus alba,Carpinus caroliniana,False,1,1,gemini_flash_lite
Quercus alba,Fraxinus americana,False,1,1,gpt_5_4
Quercus alba,Quercus macrocarpa,True,1,1,dinov3
Quercus bicolor,Fraxinus americana,False,1,1,dinov3
Quercus bicolor,Ostrya virginiana,False,1,1,bioclip
Quercus bicolor,Quercus muehlenbergii,True,1,1,bioclip
Quercus bicolor,Quercus rubra,True,1,1,gpt_5_4
Quercus macrocarpa,Fraxinus pennsylvanica,False,1,1,dinov3
Quercus macrocarpa,Quercus bicolor,True,1,1,dinov3
Quercus muehlenbergii,Carya ovata,False,1,1,dinov3
Quercus muehlenbergii,Quercus alba,True,1,1,gemini_flash_lite
Quercus muehlenbergii,Tilia americana,False,1,1,dinov3
Quercus palustris,Acer saccharinum,False,1,1,gpt_5_4
Quercus palustris,Gleditsia triacanthos,False,1,1,gpt_5_4
Quercus palustris,Tilia americana,False,1,1,gpt_5_4
Quercus rubra,Acer platanoides,False,1,1,gpt_5_4
Quercus rubra,Fagus grandifolia,False,1,1,bioclip
Quercus rubra,Gleditsia triacanthos,False,1,1,gpt_5_4
Quercus rubra,Ulmus americana,False,1,1,dinov3
Rhus aromatica,Acer platanoides,False,1,1,gpt_5_4
Rhus aromatica,Cephalanthus occidentalis,False,1,1,gemini_flash_lite
Rhus copallinum,Betula lenta,False,1,1,gpt_5_4
Rhus copallinum,Carpinus caroliniana,False,1,1,gemini_flash_lite
Rhus copallinum,Cornus amomum,False,1,1,gpt_5_4
Rhus copallinum,Lindera benzoin,False,1,1,dinov3
Rhus copallinum,Rhus glabra,True,1,1,bioclip
Rhus glabra,Rhus copallinum,True,1,1,dinov3
Salix nigra,Populus deltoides,False,1,1,gpt_5_4
Salix nigra,Quercus palustris,False,1,1,dinov3
Sambucus nigra,Rhus copallinum,False,1,1,dinov3
Sambucus nigra,Sambucus racemosa,True,1,1,dinov3
Sambucus racemosa,Viburnum opulus,False,1,1,gpt_5_4
Sassafras albidum,Acer saccharinum,False,1,1,gpt_5_4
Sassafras albidum,Ailanthus altissima,False,1,1,gpt_5_4
Sassafras albidum,Gymnocladus dioicus,False,1,1,gemini_flash_lite
Sassafras albidum,Quercus alba,False,1,1,gemini_flash_lite
Sassafras albidum,Quercus macrocarpa,False,1,1,dinov3
Sassafras albidum,Tilia americana,False,1,1,gpt_5_4
Sorbus americana,Ailanthus altissima,False,1,1,dinov3
Sorbus americana,Sambucus nigra,False,1,1,gpt_5_4
Tilia americana,Carpinus caroliniana,False,1,1,gemini_flash_lite
Tilia americana,Lindera benzoin,False,1,1,gpt_5_4
Tilia americana,Staphylea trifolia,False,1,1,gpt_5_4
Toxicodendron radicans,Ailanthus altissima,False,1,1,gemini_flash_lite
Toxicodendron radicans,Cornus amomum,False,1,1,gpt_5_4
Toxicodendron radicans,Cornus sericea,False,1,1,gpt_5_4
Toxicodendron radicans,Lindera benzoin,False,1,1,gemini_flash_lite
Tsuga canadensis,Pinus strobus,False,1,1,gpt_5_4
Ulmus americana,Carpinus caroliniana,False,1,1,gemini_flash_lite
Ulmus americana,Carya ovata,False,1,1,dinov3
Ulmus americana,Robinia pseudoacacia,False,1,1,bioclip
Ulmus americana,Ulmus rubra,True,1,1,gemini_flash_lite
Ulmus rubra,Betula alleghaniensis,False,1,1,dinov3
Ulmus rubra,Tilia americana,False,1,1,dinov3
Viburnum lantanoides,Aesculus glabra,False,1,1,gpt_5_4
Viburnum lantanoides,Carpinus caroliniana,False,1,1,gemini_flash_lite
Viburnum lantanoides,Cornus racemosa,False,1,1,gemini_flash_lite
Viburnum lantanoides,Hamamelis virginiana,False,1,1,gpt_5_4
Viburnum lantanoides,Ostrya virginiana,False,1,1,gpt_5_4
Viburnum lantanoides,Staphylea trifolia,False,1,1,gpt_5_4
Yucca filamentosa,Carpinus caroliniana,False,1,1,gemini_flash_lite
Yucca filamentosa,Juglans nigra,False,1,1,dinov3
Yucca filamentosa,Ostrya virginiana,False,1,1,gpt_5_4
Yucca filamentosa,Sambucus racemosa,False,1,1,gpt_5_4
Yucca filamentosa,Staphylea trifolia,False,1,1,gemini_flash_lite
Zanthoxylum americanum,Acer negundo,False,1,1,dinov3
Zanthoxylum americanum,Acer saccharum,False,1,1,gpt_5_4
Zanthoxylum americanum,Cornus amomum,False,1,1,gpt_5_4
Zanthoxylum americanum,Gleditsia triacanthos,False,1,1,dinov3
Zanthoxylum americanum,Lindera benzoin,False,1,1,gemini_flash_lite
Zanthoxylum americanum,Lonicera morrowii,False,1,1,gpt_5_4
Zanthoxylum americanum,Pyrus calleryana,False,1,1,gpt_5_4
